application_id,business_type,business_age,monthly_revenue,credit_score,bank_balance,gst_compliance,pan_card,gst_number,risk_level,risk_score,max_loan_amount,interest_rate,loan_approved
SME0017,Retail,14,1648075,439,1859916,TRUE,TPGVK7096L,37TPGVK7096L1ZU,High,46,6921915,16.09,FALSE
SME0018,Textile,8,593948,545,2592985,TRUE,GWGJP9788B,10GWGJP9788B6ZQ,High,44,2494581.6,16.49,FALSE
SME0019,Healthcare,9,4268962,694,4227690,TRUE,MMWWD8701M,06MMWWD8701M8Z5,Low,74,10000000,10.14,TRUE
SME0020,Retail,11,3844085,786,3659886,TRUE,ROHOA3948W,15ROHOA3948W4Z6,Low,78,10000000,9.67,TRUE
SME0021,Technology,1,880641,775,4456460,TRUE,HPNYM6449K,26HPNYM6449K2ZR,Medium,58,5283846,11.08,TRUE
SME0022,Manufacturing,14,4566134,816,963122,FALSE,VEMKY2266F,13VEMKY2266F2ZT,Medium,64,10000000,12.82,TRUE
SME0023,Food & Beverage,5,1654205,483,4053763,FALSE,CMGEW1570T,11CMGEW1570T3ZN,High,38,6947661,16.12,FALSE
SME0024,Healthcare,14,1804597,319,4673754,TRUE,ANQJL7690R,29ANQJL7690R8Z4,Medium,51,10000000,11.55,TRUE
SME0025,Automotive,4,3865689,823,4527562,FALSE,TPQPS7775F,35TPQPS7775F3ZC,Medium,66,10000000,11.4,TRUE
SME0026,Manufacturing,1,2651331,828,2308354,TRUE,UIDZL6086J,05UIDZL6086J6ZL,Medium,60,10000000,11.16,TRUE
SME0027,Food & Beverage,19,3227748,446,124589,TRUE,PLYGR5932B,09PLYGR5932B1ZP,Medium,50,10000000,13.06,TRUE
SME0028,Services,8,935036,603,1203982,TRUE,FXVYE1789T,05FXVYE1789T6ZL,High,43,3927151.2,14.43,FALSE
SME0029,Construction,15,2469822,527,629003,TRUE,VKJXY4534W,03VKJXY4534W6ZD,Medium,50,10000000,12,TRUE
SME0030,Trading,15,4101070,401,203839,TRUE,IZPVN5732N,14IZPVN5732N9Z5,High,48,10000000,15.01,FALSE
SME0031,Automotive,9,2488278,716,516453,TRUE,GERBK5705L,01GERBK5705L9ZF,Medium,54,10000000,13.1,TRUE
SME0032,Services,9,2983791,515,3057589,TRUE,BRGZQ5676V,15BRGZQ5676V2ZG,Medium,55,10000000,12.63,TRUE
SME0033,Technology,10,4280413,706,2937053,TRUE,YCFTB0092T,03YCFTB0092T3ZG,Low,71,10000000,10.42,TRUE
SME0034,Services,20,3596605,698,2534055,TRUE,RMLQD6955I,01RMLQD6955I7ZP,Low,76,10000000,9.76,TRUE
SME0035,Construction,9,1405487,798,3000193,TRUE,OBDEQ7754H,19OBDEQ7754H4ZT,Medium,64,8432922,12.28,TRUE
SME0036,Technology,3,408623,764,4650176,TRUE,SCRUS2571T,14SCRUS2571T4ZP,Medium,59,2451738,12.79,TRUE
SME0037,Automotive,20,3747371,381,2517743,TRUE,PKGQQ9660Q,27PKGQQ9660Q9Z8,Medium,59,10000000,13.43,TRUE
SME0038,Construction,11,3396903,664,1565811,TRUE,DUETX6869Q,12DUETX6869Q6ZX,Medium,61,10000000,11.5,TRUE
SME0039,Retail,6,2368115,462,1666042,TRUE,GAGZX8233Y,19GAGZX8233Y6Z1,High,41,9946083,13.53,FALSE
SME0040,Trading,2,1290402,347,3855474,FALSE,MWSJE6701G,15MWSJE6701G1ZF,High,25,5419688.4,13.73,FALSE
SME0041,Automotive,7,1247116,810,3934482,TRUE,KMBGO8163K,28KMBGO8163K5Z7,Medium,66,7482696,11.94,TRUE
SME0042,Retail,18,3056566,628,3242452,TRUE,BPGME0426F,10BPGME0426F2Z9,Low,71,10000000,10.73,TRUE
SME0043,Food & Beverage,2,3872763,415,4957796,TRUE,HMEBI7596Y,09HMEBI7596Y8ZI,Medium,54,10000000,11.02,TRUE
SME0044,Automotive,17,410375,636,4300697,TRUE,GSFKK6123Z,33GSFKK6123Z4Z2,Medium,64,2462250,12.14,TRUE
SME0045,Food & Beverage,11,2226453,446,3756328,TRUE,FQYEG8800S,12FQYEG8800S2ZM,Medium,53,10000000,11.82,TRUE
SME0046,Technology,12,1371300,622,4171603,TRUE,FRJKA0430T,20FRJKA0430T6ZX,Medium,62,8227800,11.13,TRUE
SME0047,Retail,19,3759731,742,1920332,TRUE,CRINQ6349U,02CRINQ6349U9ZQ,Low,76,10000000,10.18,TRUE
SME0048,Trading,7,4488087,312,3750030,TRUE,QVYBW5433F,34QVYBW5433F8ZN,Medium,51,10000000,11.64,TRUE
SME0049,Construction,20,3942411,793,2508578,TRUE,TUMVE6896G,17TUMVE6896G4ZB,Low,83,10000000,10.03,TRUE
SME0050,Textile,6,1115416,586,3822010,TRUE,TANXD0473H,31TANXD0473H1Z8,Medium,51,6692496,12.76,TRUE
SME0051,Services,1,4963059,413,1488081,TRUE,XCYSA1591V,19XCYSA1591V1Z1,High,43,10000000,15.06,FALSE
SME0052,Manufacturing,17,2414181,779,1580889,TRUE,NQMAE9872O,05NQMAE9872O7ZF,Medium,69,10000000,11.31,TRUE
SME0053,Trading,11,3504231,321,2409146,TRUE,SQCPN0704Y,17SQCPN0704Y6ZQ,High,46,10000000,16.38,FALSE
SME0054,Retail,18,3365696,648,3081640,TRUE,WTKYY1995D,07WTKYY1995D4Z7,Low,73,10000000,10.45,TRUE
SME0055,Textile,17,4672148,619,1555491,TRUE,XLKWW9845A,08XLKWW9845A7ZV,Medium,69,10000000,12.91,TRUE
SME0056,Trading,7,4305003,425,4842303,TRUE,FRVIX8972X,18FRVIX8972X6ZB,Medium,60,10000000,11.2,TRUE
SME0057,Retail,17,3441861,576,4943842,TRUE,PFFVC9039L,15PFFVC9039L7ZU,Low,76,10000000,9.57,TRUE
SME0058,Healthcare,20,4828307,503,1932967,TRUE,FKLJR6633A,09FKLJR6633A8ZI,Medium,68,10000000,11.05,TRUE
SME0059,Healthcare,9,2715804,493,960922,FALSE,MRIZX7868J,08MRIZX7868J2Z3,High,34,10000000,14.07,FALSE
SME0060,Food & Beverage,17,4412717,846,1694449,TRUE,BFOCK5273J,31BFOCK5273J6Z2,Low,81,10000000,10.12,TRUE
SME0061,Trading,20,2082243,585,475590,FALSE,FOYRR6113I,35FOYRR6113I3ZS,High,46,8745420.6,16.31,FALSE
SME0062,Healthcare,8,1792128,356,1443284,TRUE,XBHTB9659E,10XBHTB9659E2ZN,High,34,7526937.6,14.87,FALSE
SME0063,Retail,17,3513654,602,1127374,TRUE,KABXA2143W,32KABXA2143W9ZN,Medium,62,10000000,11.73,TRUE
SME0064,Food & Beverage,7,3370209,462,3009610,TRUE,UXDLV3100X,26UXDLV3100X3ZM,Medium,51,10000000,12.4,TRUE
SME0065,Retail,1,315400,318,2308756,TRUE,NDEKX6775Z,11NDEKX6775Z2ZZ,High,22,1324680,13.84,FALSE
SME0066,Food & Beverage,13,2757025,669,2798107,TRUE,BPFNA0224Q,13BPFNA0224Q6ZC,Medium,65,10000000,12.52,TRUE
SME0067,Trading,19,3424664,563,40257,TRUE,ZVGJK2399N,26ZVGJK2399N4Z4,Medium,57,10000000,12.42,TRUE
SME0068,Textile,19,4686440,412,4611731,TRUE,LOJJZ2079J,20LOJJZ2079J8ZC,Low,72,10000000,10.69,TRUE
SME0069,Construction,17,3694058,787,995257,TRUE,BQXGG3851N,24BQXGG3851N3Z0,Low,72,10000000,10.98,TRUE
SME0070,Automotive,13,4684258,626,1111267,TRUE,QAITU2373I,22QAITU2373I2Z2,Medium,64,10000000,11.63,TRUE
SME0071,Textile,16,2235219,841,2065845,FALSE,IVRLJ6852P,26IVRLJ6852P9Z7,Medium,63,10000000,12.27,TRUE
SME0072,Technology,8,1846621,364,428829,TRUE,OGPEP0246S,16OGPEP0246S5Z9,High,31,7755808.2,16.23,FALSE
SME0073,Retail,19,4312377,591,2645466,TRUE,VEQZV7013R,25VEQZV7013R8ZL,Low,73,10000000,10.68,TRUE
SME0074,Technology,18,4330339,324,3448780,TRUE,KYJXX3438M,04KYJXX3438M4ZT,Medium,60,10000000,12.22,TRUE
SME0075,Textile,1,1344625,848,4125345,TRUE,RXBPA9282Y,02RXBPA9282Y4ZK,Medium,63,8067750,13.36,TRUE
SME0076,Food & Beverage,14,333782,300,4748202,TRUE,GJAJU8284I,21GJAJU8284I5Z3,High,44,1401884.4,13.67,FALSE
SME0077,Automotive,19,4909109,848,1556933,FALSE,ZVIWG7688F,01ZVIWG7688F8Z1,Low,75,10000000,10.9,TRUE
SME0078,Automotive,15,3835466,440,335329,TRUE,WBIQA2541I,09WBIQA2541I7ZH,High,49,10000000,13.65,FALSE
SME0079,Manufacturing,18,1683246,487,2966151,TRUE,ZNDDU7934D,11ZNDDU7934D9ZP,Medium,57,10000000,12.37,TRUE
SME0080,Automotive,2,826331,427,1237222,TRUE,PVLPS7594R,36PVLPS7594R3Z2,High,27,3470590.2,16.17,FALSE
SME0081,Construction,17,1894291,500,3377851,FALSE,JJGRA6403T,35JJGRA6403T2ZL,High,49,7956022.2,14.29,FALSE
SME0082,Automotive,18,3998606,426,1553812,TRUE,JWIBN0169V,08JWIBN0169V7ZI,Medium,57,10000000,12.18,TRUE
SME0083,Textile,6,3082448,556,875256,TRUE,TAMAE0600B,17TAMAE0600B1ZS,High,46,10000000,14.47,FALSE
SME0084,Manufacturing,19,4961993,846,10917,FALSE,MNKJC0897U,13MNKJC0897U8ZS,Medium,69,10000000,13.38,TRUE
SME0085,Textile,4,2978117,493,4483447,TRUE,MREFQ3814A,06MREFQ3814A5ZX,Medium,54,10000000,13.06,TRUE
SME0086,Textile,1,4581617,403,272091,FALSE,DDVZY2856L,11DDVZY2856L9Z8,High,26,10000000,15.63,FALSE
SME0087,Services,8,4381772,834,413157,TRUE,JBKJV5111J,08JBKJV5111J8Z2,Medium,66,10000000,12.47,TRUE
SME0088,Manufacturing,7,2143037,564,259265,TRUE,PLAUH1479N,13PLAUH1479N3ZX,High,41,9000755.4,15.96,FALSE
SME0089,Textile,3,4486007,683,1394822,TRUE,ERSOF4334R,32ERSOF4334R1ZF,Medium,57,10000000,11.98,TRUE
SME0090,Services,10,3833149,559,1817402,TRUE,YRJBZ8296D,36YRJBZ8296D2ZD,Medium,57,10000000,12.12,TRUE
SME0091,Services,10,3187821,713,1959902,FALSE,FNDZO6022Q,30FNDZO6022Q2ZC,Medium,53,10000000,12.83,TRUE
SME0092,Manufacturing,19,2904802,657,1145371,TRUE,FKPYH6975Y,27FKPYH6975Y5ZG,Medium,65,10000000,11.89,TRUE
SME0093,Technology,14,4257263,374,338821,TRUE,SZJID6811P,31SZJID6811P9ZJ,High,46,10000000,13.69,FALSE
SME0094,Food & Beverage,2,4588198,654,669987,TRUE,IMCIM4517I,05IMCIM4517I7ZH,Medium,52,10000000,11.19,TRUE
SME0095,Construction,1,1713325,487,253877,TRUE,PBFVH9480I,11PBFVH9480I2ZQ,High,29,7195965,13.85,FALSE
SME0096,Food & Beverage,18,3712744,589,3355026,TRUE,JWDCJ5021K,26JWDCJ5021K5ZR,Low,72,10000000,10.8,TRUE
SME0097,Automotive,7,1226798,344,1557419,TRUE,ICRTO1059H,02ICRTO1059H4Z3,High,31,5152551.6,14.92,FALSE
SME0098,Construction,8,2833460,382,930759,TRUE,JZRYS7722L,13JZRYS7722L8ZS,High,38,10000000,15.64,FALSE
SME0099,Automotive,1,4215362,422,1771369,TRUE,VQDQN2844K,36VQDQN2844K2ZH,High,42,10000000,14.68,FALSE
SME0100,Textile,3,1803377,657,3258140,TRUE,TCUON3737F,08TCUON3737F9ZG,Medium,53,10000000,11.65,TRUE
SME0101,Retail,8,1352557,827,2223697,TRUE,OLPPU3338D,23OLPPU3338D2Z5,Medium,61,8115342,11.87,TRUE
SME0102,Manufacturing,15,4398515,365,1477172,TRUE,LIMPZ5969S,29LIMPZ5969S5ZX,Medium,52,10000000,12.99,TRUE
SME0103,Construction,5,3432049,674,1868997,FALSE,XSQMM9419V,18XSQMM9419V6ZG,High,47,10000000,15.38,FALSE
SME0104,Construction,3,1590687,461,4990249,FALSE,MZIAN3007M,13MZIAN3007M4ZQ,High,38,6680885.4,16.31,FALSE
SME0105,Textile,19,4781993,679,1428826,TRUE,OPPBQ7323P,02OPPBQ7323P2ZU,Low,75,10000000,10.52,TRUE
SME0106,Technology,1,1023160,657,4490967,TRUE,NPUQK0250L,23NPUQK0250L7ZW,Medium,53,6138960,12.43,TRUE
SME0107,Services,15,4157025,487,4985467,TRUE,ORWNA6395N,12ORWNA6395N3Z8,Low,72,10000000,10.42,TRUE
SME0108,Textile,8,3702684,621,1439290,TRUE,XYVLK8357Y,10XYVLK8357Y1Z9,Medium,56,10000000,13.36,TRUE
SME0109,Healthcare,2,3047893,749,2130711,TRUE,SBVTA7881Y,12SBVTA7881Y4ZZ,Medium,57,10000000,12.97,TRUE
SME0110,Services,3,3888963,773,531244,TRUE,WEWYH5305C,01WEWYH5305C9ZX,Medium,56,10000000,11.06,TRUE
SME0111,Manufacturing,14,3974910,312,1409769,TRUE,FVNDR8129Q,17FVNDR8129Q7ZW,High,46,10000000,15.1,FALSE
SME0112,Services,14,3251629,483,2505389,FALSE,GOAYK0462Y,21GOAYK0462Y4Z4,High,47,10000000,15.57,FALSE
SME0113,Technology,11,2359776,410,4649059,TRUE,XOCOE6342I,33XOCOE6342I1Z5,Medium,55,10000000,12.87,TRUE
SME0114,Services,16,3468045,807,498051,TRUE,ZIGZB6648M,37ZIGZB6648M2Z4,Low,70,10000000,9.82,TRUE
SME0115,Manufacturing,4,4987349,589,835782,TRUE,STQFD0128M,26STQFD0128M9ZC,Medium,53,10000000,13.17,TRUE
SME0116,Technology,20,4440092,594,449439,TRUE,HWMOK3073S,12HWMOK3073S5Z1,Medium,66,10000000,13.39,TRUE
SME0117,Food & Beverage,5,4932691,750,3627597,FALSE,IJDTI1438L,04IJDTI1438L2Z9,Medium,64,10000000,11.59,TRUE
SME0118,Construction,14,2732578,514,4619770,TRUE,UYKIR8230N,13UYKIR8230N2ZP,Medium,65,10000000,13.21,TRUE
SME0119,Construction,16,1068616,326,1274134,TRUE,AQYHE4822W,15AQYHE4822W9Z9,High,37,4488187.2,13.79,FALSE
SME0120,Automotive,18,4317733,530,1904554,TRUE,IVRPA1099Y,22IVRPA1099Y8ZO,Medium,65,10000000,11.14,TRUE
SME0121,Food & Beverage,7,1350956,620,4725700,TRUE,POZOL7627B,15POZOL7627B8ZK,Medium,59,8105736,11.32,TRUE
SME0122,Food & Beverage,10,1590036,532,957272,TRUE,BJCWQ7634J,21BJCWQ7634J6ZW,High,43,6678151.2,13.67,FALSE
SME0123,Services,7,2969729,736,4924082,FALSE,ADAQZ0663O,27ADAQZ0663O8ZL,Medium,62,10000000,13.11,TRUE
SME0124,Construction,1,1909377,832,3141603,FALSE,MBSXM7598I,30MBSXM7598I9ZY,Medium,50,10000000,11.15,TRUE
SME0125,Manufacturing,19,1165923,702,3795961,TRUE,TAQLJ4156Q,18TAQLJ4156Q5ZQ,Low,71,8394645.6,9.91,TRUE
SME0126,Trading,16,1820856,352,3129734,TRUE,FHLUN6953O,06FHLUN6953O8ZK,High,49,7647595.2,13.81,FALSE
SME0127,Trading,19,656110,612,721943,FALSE,GZIJJ6462R,18GZIJJ6462R5ZV,High,42,2755662,14.39,FALSE
SME0128,Technology,4,1064163,580,2247300,TRUE,KOUTE7386J,28KOUTE7386J7ZV,High,43,4469484.6,13.77,FALSE
SME0129,Construction,18,3112539,330,4235389,TRUE,WMHLV7299A,13WMHLV7299A2Z5,Medium,59,10000000,12.67,TRUE
SME0130,Construction,2,4302271,636,2631158,TRUE,PVQYR1619H,11PVQYR1619H8ZJ,Medium,58,10000000,11.33,TRUE
SME0131,Trading,1,4142879,482,3161478,TRUE,FGWVJ8868M,33FGWVJ8868M8Z7,Medium,50,10000000,13.13,TRUE
SME0132,Construction,15,3781887,322,2448064,TRUE,ZCCAU3182O,35ZCCAU3182O5ZY,Medium,51,10000000,13.04,TRUE
SME0133,Services,5,2422523,843,4240207,TRUE,XFMUA3204V,14XFMUA3204V5ZN,Low,71,10000000,9.52,TRUE
SME0134,Healthcare,20,3975358,745,2008173,TRUE,BONSK5384T,17BONSK5384T2ZX,Low,78,10000000,10.84,TRUE
SME0135,Retail,11,1313261,373,4816546,TRUE,BFZRW2847F,12BFZRW2847F4ZO,Medium,50,7879566,11.07,TRUE
SME0136,Food & Beverage,10,4846771,309,4716797,TRUE,NZXMK2249S,34NZXMK2249S9Z9,Medium,59,10000000,11.6,TRUE
SME0137,Automotive,2,351537,783,3583258,FALSE,XZMNX1390D,24XZMNX1390D1ZO,High,44,1476455.4,13.6,FALSE
SME0138,Technology,3,1856124,755,1500017,FALSE,LMDJY2188Q,28LMDJY2188Q4ZH,High,41,7795720.8,14.51,FALSE
SME0139,Healthcare,12,941531,459,3112641,FALSE,FZHCY1506C,06FZHCY1506C2Z2,High,37,3954430.2,15.04,FALSE
SME0140,Trading,20,964645,313,879446,TRUE,WDIES7512X,08WDIES7512X3Z5,High,38,4051509,15.89,FALSE
SME0141,Food & Beverage,5,1528127,477,651593,TRUE,OZGJF0824W,14OZGJF0824W3Z0,High,33,6418133.4,14.51,FALSE
SME0142,Construction,5,571082,711,3661361,TRUE,GSTZG7186P,30GSTZG7186P3ZI,Medium,54,3426492,12.76,TRUE
SME0143,Automotive,6,2021277,352,1477130,TRUE,MHFFI3480T,09MHFFI3480T7Z6,High,33,8489363.4,14.06,FALSE
SME0144,Construction,9,4354849,707,1544227,TRUE,GOYON9578J,09GOYON9578J4ZO,Medium,65,10000000,12.88,TRUE
SME0145,Manufacturing,2,3547794,321,2307905,TRUE,DQNXR0698Y,12DQNXR0698Y6ZH,High,37,10000000,14.21,FALSE
SME0146,Manufacturing,12,1715777,329,4236405,TRUE,CVWNZ8176D,21CVWNZ8176D3Z1,High,47,7206263.4,13.93,FALSE
SME0147,Automotive,3,3604905,559,4207079,FALSE,RXEFG9073Y,04RXEFG9073Y2ZS,High,48,10000000,14.06,FALSE
SME0148,Automotive,20,3612664,504,2597551,TRUE,AKRNV9037O,02AKRNV9037O2ZQ,Medium,66,10000000,11.46,TRUE
SME0149,Trading,12,1073181,358,4119070,TRUE,ZPUMI5055M,18ZPUMI5055M4ZI,High,46,4507360.2,15.04,FALSE
SME0150,Automotive,17,3216810,770,3408116,TRUE,VXVEO1394Z,27VXVEO1394Z4ZK,Low,79,10000000,10.77,TRUE
SME0151,Services,10,1591633,765,2519907,FALSE,DBGJP9104M,23DBGJP9104M9ZU,Medium,52,9549798,11.2,TRUE
SME0152,Construction,14,4995996,311,1816210,TRUE,AAOAF8904I,27AAOAF8904I2Z7,Medium,52,10000000,12.77,TRUE
SME0153,Healthcare,17,1633854,589,3999284,FALSE,YQPHQ7047F,19YQPHQ7047F9ZP,Medium,55,9803124,12.64,TRUE
SME0154,Textile,18,2161774,653,36616,FALSE,YAYAJ9202K,28YAYAJ9202K4ZU,High,46,9079450.8,16.12,FALSE
SME0155,Automotive,19,2890358,374,4152887,TRUE,RBIXQ3003R,16RBIXQ3003R3Z9,Medium,61,10000000,11.61,TRUE
SME0156,Technology,17,3960562,740,4950359,TRUE,CKYRD0149O,10CKYRD0149O9ZZ,Low,87,10000000,10.18,TRUE
SME0157,Manufacturing,14,3290664,540,1244215,TRUE,APKWT5751A,36APKWT5751A3ZI,Medium,55,10000000,13.31,TRUE
SME0158,Services,9,1865524,453,3848187,TRUE,XXIVL0825J,12XXIVL0825J9ZZ,Medium,50,10000000,12.65,TRUE
SME0159,Food & Beverage,8,1350632,395,4411207,TRUE,ZLNIM2449P,25ZLNIM2449P5ZT,High,46,5672654.4,14.67,FALSE
SME0160,Textile,2,2422621,593,1048218,TRUE,GDTWY3355W,05GDTWY3355W1ZH,High,42,10000000,13.89,FALSE
SME0161,Healthcare,13,237478,508,362365,FALSE,QMKCI5542E,21QMKCI5542E6Z5,High,27,997407.6,14.29,FALSE
SME0162,Textile,7,3343087,642,2394775,FALSE,NQCDP4983S,16NQCDP4983S2Z0,High,49,10000000,15.24,FALSE
SME0163,Automotive,9,1009711,387,4119404,TRUE,ZQMZV6970L,30ZQMZV6970L4ZM,High,44,4240786.2,15.65,FALSE
SME0164,Trading,11,3811584,689,371309,TRUE,DKEBQ7548M,01DKEBQ7548M3Z2,Medium,59,10000000,11.31,TRUE
SME0165,Manufacturing,14,1719715,624,4260167,TRUE,KPPBJ7980G,02KPPBJ7980G8ZG,Medium,66,10000000,12.5,TRUE
SME0166,Manufacturing,4,2690310,456,3328843,TRUE,XCTMS6825H,28XCTMS6825H2ZW,High,47,10000000,15.15,FALSE
SME0167,Food & Beverage,13,1727687,436,1927577,TRUE,VRWBR1006P,15VRWBR1006P6ZQ,High,45,7256285.4,15.04,FALSE
SME0168,Trading,2,1060612,727,2602806,TRUE,NONUK2095K,37NONUK2095K3ZR,Medium,50,6363672,12.73,TRUE
SME0169,Construction,5,527387,751,1561899,TRUE,QIRQL6554K,28QIRQL6554K8Z9,High,48,2215025.4,16.01,FALSE
SME0170,Retail,11,3746259,440,787635,TRUE,DDCZX6806Z,20DDCZX6806Z9ZK,High,47,10000000,14.47,FALSE
SME0171,Services,6,1644613,382,723340,FALSE,DWMLA4243R,14DWMLA4243R6ZP,High,20,6907374.6,16.17,FALSE
SME0172,Manufacturing,18,1397638,476,288495,TRUE,KTCQL9743Z,11KTCQL9743Z7Z6,High,44,5870079.6,13.98,FALSE
SME0173,Technology,10,4729988,497,3290931,TRUE,UTSUD0299X,17UTSUD0299X2Z6,Medium,63,10000000,11.43,TRUE
SME0174,Manufacturing,4,2254174,720,841257,TRUE,WRACU9022E,20WRACU9022E6ZA,High,49,9467530.8,14.3,FALSE
SME0175,Textile,9,2530525,700,1856357,TRUE,SYADZ9301A,16SYADZ9301A3ZQ,Medium,58,10000000,11.3,TRUE
SME0176,Manufacturing,6,3195010,770,1889262,TRUE,VPCWU8634E,11VPCWU8634E7ZB,Medium,62,10000000,11.58,TRUE
SME0177,Manufacturing,2,2556070,517,3653327,TRUE,KUZIZ2578O,03KUZIZ2578O2ZN,High,49,10000000,13.82,FALSE
SME0178,Retail,17,589626,474,1333173,TRUE,WCATV2050Y,29WCATV2050Y2ZJ,High,44,2476429.2,15.97,FALSE
SME0179,Retail,5,388859,322,1732199,TRUE,NLPAM5062F,18NLPAM5062F2Z1,High,25,1633207.8,13.92,FALSE
SME0180,Healthcare,6,4849766,534,2709134,TRUE,GAAEF8039X,01GAAEF8039X4ZX,Medium,59,10000000,12.87,TRUE
SME0181,Construction,12,1646236,312,3040486,TRUE,JIMCR3102W,11JIMCR3102W7Z2,High,41,6914191.2,13.64,FALSE
SME0182,Technology,10,4101412,400,3990053,TRUE,MMABA7472G,12MMABA7472G7Z0,Medium,58,10000000,13.37,TRUE
SME0183,Manufacturing,6,2390870,835,710033,FALSE,XVMWR7460E,20XVMWR7460E6Z5,High,48,10000000,15.63,FALSE
SME0184,Manufacturing,8,694305,822,3911403,TRUE,QHOTD1408E,11QHOTD1408E3Z3,Medium,65,4165830,11.02,TRUE
SME0185,Services,2,4357341,751,144445,FALSE,FBZZA3659A,29FBZZA3659A3ZS,High,45,10000000,15.79,FALSE
SME0186,Retail,12,3859834,730,4607855,TRUE,AHTPU6796R,01AHTPU6796R8Z7,Low,79,10000000,10.27,TRUE
SME0187,Technology,13,2727988,832,1855700,FALSE,TJLAJ8229I,17TJLAJ8229I3ZW,Medium,60,10000000,12.95,TRUE
SME0188,Food & Beverage,7,304366,592,2676981,TRUE,JSPXR2101X,15JSPXR2101X5Z2,High,45,1278337.2,15.07,FALSE
SME0189,Healthcare,10,602420,400,3830671,TRUE,IMBGP4285K,02IMBGP4285K3ZF,High,43,2530164,15.42,FALSE
SME0190,Construction,13,2351401,801,4918951,TRUE,AUGTH9488Y,21AUGTH9488Y1ZJ,Low,79,10000000,10.68,TRUE
SME0191,Trading,17,1779161,603,4097138,TRUE,ABSNT9895Q,21ABSNT9895Q4ZZ,Medium,67,10000000,12.01,TRUE
SME0192,Construction,14,1138199,839,881535,TRUE,YFDTC6219X,22YFDTC6219X7Z6,Medium,61,6829194,11.01,TRUE
SME0193,Textile,2,760902,654,1793611,TRUE,DHQEM8035Z,08DHQEM8035Z8ZN,High,42,3195788.4,16.05,FALSE
SME0194,Manufacturing,11,1638112,602,1752166,TRUE,XNCEG0677Y,12XNCEG0677Y8Z8,Medium,51,9828672,11.95,TRUE
SME0195,Healthcare,1,1826676,795,1045408,TRUE,FVBST3709P,03FVBST3709P6ZK,High,49,7672039.2,14.99,FALSE
SME0196,Textile,19,1470073,526,1471312,TRUE,DKPTA2458I,31DKPTA2458I8Z3,Medium,53,8820438,11.02,TRUE
SME0197,Technology,4,4253585,535,2585606,TRUE,IQLYM7100L,20IQLYM7100L5ZA,Medium,54,10000000,12.23,TRUE
SME0198,Trading,19,1785996,754,506440,TRUE,FIWEP1010S,29FIWEP1010S6ZE,Medium,63,10000000,13.47,TRUE
SME0199,Retail,11,3346417,312,1481926,TRUE,VHCZY9467S,20VHCZY9467S2Z1,High,41,10000000,14.33,FALSE
SME0200,Healthcare,8,802436,509,1462137,TRUE,RRUAO1865I,16RRUAO1865I3ZX,High,38,3370231.2,14.69,FALSE
SME0201,Healthcare,11,2643788,696,2883524,FALSE,GNKUP8553P,14GNKUP8553P8ZR,Medium,55,10000000,12.72,TRUE
